"multiplier","LotNr","Allocate","EstValue","StartPrice","Followers","Bank","Dealer","Liquidator","Volunteer","LotsSale","LotsCtgry","Forced","SP.EV","Duration","Morning","Evening","Afternoon"
1.1,1,0,2000,1500,18,0,1,0,0,646,38,0,0.75,337,0,0,1
1.666666667,2,0,2250,1500,25,0,1,0,0,646,38,0,0.666666667,337,0,0,1
0.96,3,0,1250,750,24,0,1,0,0,646,38,0,0.6,338,0,0,1
1.071428571,4,0,1750,1275,14,0,1,0,0,646,38,0,0.728571429,338,0,0,1
3.333333333,5,0,750,500,43,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.122222222,6,0,450,300,23,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.44,7,0,1250,750,17,0,1,0,0,646,38,0,0.6,338,0,0,1
1.833333333,8,0,1200,800,44,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.165,9,0,600,400,20,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.2,10,0,450,300,13,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.375,11,0,400,250,6,0,1,0,0,646,38,0,0.625,337,0,0,1
3.583333333,12,0,600,400,44,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1,13,0,600,400,15,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.2,14,0,150,100,27,0,1,0,0,646,38,0,0.666666667,338,0,0,1
2.8,15,0,500,300,29,0,1,0,0,646,38,0,0.6,338,0,0,1
1.285714286,16,0,1750,1250,27,0,1,0,0,646,38,0,0.714285714,338,0,0,1
0.866666667,17,0,750,500,9,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.333333333,18,0,1500,1000,38,0,1,0,0,646,38,0,0.666666667,338,0,0,1
1.076923077,19,0,650,400,15,0,1,0,0,646,38,0,0.615384615,338,0,0,1
0.775,20,0,40,25,6,0,1,0,0,646,38,0,0.625,338,0,0,1
9.5,21,0,400,300,38,0,1,0,0,646,188,0,0.75,338,0,0,1
13.33333333,24,0,600,400,26,0,1,0,0,646,188,0,0.666666667,338,0,0,1
0.6,25,0,75,40,9,0,1,0,0,646,188,0,0.533333333,338,0,0,1
2.6,26,0,150,100,42,0,1,0,0,646,27,0,0.666666667,339,0,0,1
3.25,27,0,120,80,50,0,1,0,0,646,27,0,0.666666667,339,0,0,1
4.5,28,0,60,40,9,0,1,0,0,646,38,0,0.666666667,338,0,0,1
3.333333333,29,0,60,40,9,0,1,0,0,646,38,0,0.666666667,338,0,0,1
4.983333333,30,0,60,40,18,0,1,0,0,646,38,0,0.666666667,338,0,0,1
4.786666667,31,0,75,50,10,0,1,0,0,646,38,0,0.666666667,338,0,0,1
2.24,32,0,25,15,10,0,1,0,0,646,38,0,0.6,339,0,0,1
8.05,33,0,20,15,20,0,1,0,0,646,38,0,0.75,339,0,0,1
6.55,34,0,20,15,21,0,1,0,0,646,38,0,0.75,339,0,0,1
1.666666667,35,0,15,10,17,0,1,0,0,646,38,0,0.666666667,339,0,0,1
4.25,36,0,40,25,15,0,1,0,0,646,38,0,0.625,339,0,0,1
3.5,37,0,20,10,18,0,1,0,0,646,38,0,0.5,339,0,0,1
1.04,38,0,25,15,14,0,1,0,0,646,38,0,0.6,339,0,0,1
0.666666667,39,0,150,100,7,0,1,0,0,646,188,0,0.666666667,338,0,0,1
1.7,41,0,3000,2000,43,0,1,0,0,646,35,0,0.666666667,338,0,0,1
2.34,42,0,2500,1750,50,0,1,0,0,646,35,0,0.7,338,0,0,1
5.8,43,0,1500,1000,72,0,1,0,0,646,35,0,0.666666667,338,0,0,1
0.55,44,0,2000,1000,14,0,1,0,0,646,35,0,0.5,339,0,0,1
2.875,45,0,400,250,65,0,1,0,0,646,35,0,0.625,339,0,0,1
